VALUESET_NAME,CODE,CODE_SYSTEM,DISPLAY,VERSION
Essential Hypertension,I13.2,ICD10,Hypertensive heart and chronic kidney disease with HF and stage 5,HEDIS-2026
Systolic Blood Pressure,8480-6,LOINC,Systolic blood pressure,HEDIS-2026
Diastolic Blood Pressure,8462-4,LOINC,Diastolic blood pressure,HEDIS-2026
Diabetes,E10.10,ICD10,Type 1 diabetes with ketoacidosis without coma,HEDIS-2026
Diabetes,E10.65,ICD10,Type 1 diabetes with hyperglycemia,HEDIS-2026
Diabetes,E10.9,ICD10,Type 1 diabetes without complications,HEDIS-2026
Diabetes,E11.00,ICD10,Type 2 diabetes with hyperosmolarity without coma,HEDIS-2026
Diabetes,E11.65,ICD10,Type 2 diabetes with hyperglycemia,HEDIS-2026
Diabetes,E11.9,ICD10,Type 2 diabetes without complications,HEDIS-2026
Diabetes,E13.9,ICD10,Other specified diabetes without complications,HEDIS-2026
FOBT,82270,CPT,"Blood, occult, by peroxidase activity, feces",HEDIS-2026
FOBT,82274,CPT,"Blood, occult, feces, immunoassay",HEDIS-2026
FOBT,2335-8,LOINC,Hemoglobin.gastrointestinal [Presence] in Stool,HEDIS-2026
FOBT,14563-1,LOINC,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,HEDIS-2026
FOBT,14564-9,LOINC,Hemoglobin.gastrointestinal [Presence] in Stool --1st specimen,HEDIS-2026
FOBT,14565-6,LOINC,Hemoglobin.gastrointestinal [Presence] in Stool --2nd specimen,HEDIS-2026
FOBT,29771-3,LOINC,Hemoglobin.gastrointestinal [Presence] in Stool by Immunoassay,HEDIS-2026
Cervical Cancer,C53.0,ICD10,Malignant neoplasm of endocervix,HEDIS-2026
Cervical Cancer,C53.1,ICD10,Malignant neoplasm of exocervix,HEDIS-2026
Cervical Cancer,C53.8,ICD10,Malignant neoplasm of overlapping sites of cervix uteri,HEDIS-2026
Cervical Cancer,C53.9,ICD10,"Malignant neoplasm of cervix uteri, unspecified",HEDIS-2026
Colorectal Cancer,C18.0,ICD10,Malignant neoplasm of cecum,HEDIS-2026
Colorectal Cancer,C18.2,ICD10,Malignant neoplasm of ascending colon,HEDIS-2026
Colorectal Cancer,C18.4,ICD10,Malignant neoplasm of transverse colon,HEDIS-2026
Colorectal Cancer,C18.6,ICD10,Malignant neoplasm of descending colon,HEDIS-2026
Colorectal Cancer,C18.7,ICD10,Malignant neoplasm of sigmoid colon,HEDIS-2026
Colorectal Cancer,C18.9,ICD10,"Malignant neoplasm of colon, unspecified",HEDIS-2026
Colorectal Cancer,C19,ICD10,Malignant neoplasm of rectosigmoid junction,HEDIS-2026
Colorectal Cancer,C20,ICD10,Malignant neoplasm of rectum,HEDIS-2026
Total Colectomy,44150,CPT,"Colectomy, total, abdominal",HEDIS-2026
Total Colectomy,44151,CPT,"Colectomy, total, abdominal with proctectomy",HEDIS-2026
Total Colectomy,44155,CPT,"Colectomy, total, abdominal with continent ileostomy",HEDIS-2026
Total Colectomy,44156,CPT,"Colectomy, total, abdominal with ileostomy",HEDIS-2026
Total Colectomy,44157,CPT,"Colectomy, total, abdominal with ileoanal anastomosis",HEDIS-2026
Total Colectomy,44158,CPT,"Colectomy, total, abdominal with ileoanal anastomosis with reservoir",HEDIS-2026
Bilateral Mastectomy,19303,CPT,"Mastectomy, simple, complete, bilateral",HEDIS-2026
Unilateral Mastectomy Left,19301,CPT,"Mastectomy, partial, left",HEDIS-2026
Unilateral Mastectomy Left,19302,CPT,"Mastectomy, subcutaneous, left",HEDIS-2026
Unilateral Mastectomy Right,19301-RT,CPT,"Mastectomy, partial, right",HEDIS-2026
Unilateral Mastectomy Right,19302-RT,CPT,"Mastectomy, subcutaneous, right",HEDIS-2026
History of Bilateral Mastectomy,Z90.13,ICD10,Acquired absence of bilateral breasts and nipples,HEDIS-2026
Flexible Sigmoidoscopy,45330,CPT,"Sigmoidoscopy, flexible, diagnostic",HEDIS-2026
Flexible Sigmoidoscopy,45331,CPT,"Sigmoidoscopy, flexible, with biopsy",HEDIS-2026
Flexible Sigmoidoscopy,45332,CPT,"Sigmoidoscopy, flexible, with foreign body removal",HEDIS-2026
Flexible Sigmoidoscopy,45333,CPT,"Sigmoidoscopy, flexible, with polypectomy by hot biopsy",HEDIS-2026
Flexible Sigmoidoscopy,45334,CPT,"Sigmoidoscopy, flexible, with control of bleeding",HEDIS-2026
Flexible Sigmoidoscopy,45335,CPT,"Sigmoidoscopy, flexible, with directed submucosal injection",HEDIS-2026
FIT-DNA,81528,CPT,"Oncology, colorectal screening, multi-target stool DNA",HEDIS-2026
FIT-DNA,G0464,HCPCS,"Colorectal cancer screening, stool-based DNA and FIT",HEDIS-2026
CT Colonography,74261,CPT,"CT colonography, diagnostic",HEDIS-2026
CT Colonography,74262,CPT,"CT colonography, screening",HEDIS-2026
CT Colonography,74263,CPT,"CT colonography, screening, with contrast",HEDIS-2026
ESRD,N18.6,ICD10,End stage renal disease,HEDIS-2026
ESRD,Z99.2,ICD10,Dependence on renal dialysis,HEDIS-2026
Kidney Transplant,Z94.0,ICD10,Kidney transplant status,HEDIS-2026
Kidney Transplant,T86.10,ICD10,Unspecified complication of kidney transplant,HEDIS-2026
Pregnancy,O09.90,ICD10,"Supervision of high risk pregnancy, unspecified",HEDIS-2026
Pregnancy,Z33.1,ICD10,"Pregnant state, incidental",HEDIS-2026
Pregnancy,Z34.00,ICD10,Encounter for supervision of normal first pregnancy,HEDIS-2026
Nonacute Inpatient,99304,CPT,"Initial nursing facility care, low complexity",HEDIS-2026
Nonacute Inpatient,99305,CPT,"Initial nursing facility care, moderate complexity",HEDIS-2026
Nonacute Inpatient,99306,CPT,"Initial nursing facility care, high complexity",HEDIS-2026
Eye Exam,92002,CPT,"Ophthalmologic exam, new patient, intermediate",HEDIS-2026
Eye Exam,92004,CPT,"Ophthalmologic exam, new patient, comprehensive",HEDIS-2026
Eye Exam,92012,CPT,"Ophthalmologic exam, established patient, intermediate",HEDIS-2026
Eye Exam,92014,CPT,"Ophthalmologic exam, established patient, comprehensive",HEDIS-2026
Diabetic Retinal Screening,92227,CPT,Remote imaging for retinal disease screening,HEDIS-2026
Diabetic Retinal Screening,92228,CPT,Remote imaging for retinal disease monitoring,HEDIS-2026
Urine Protein Tests,81001,CPT,"Urinalysis, automated, with microscopy",HEDIS-2026
Urine Protein Tests,81003,CPT,"Urinalysis, automated, without microscopy",HEDIS-2026
Urine Protein Tests,2888-6,LOINC,Protein [Mass/volume] in Urine,HEDIS-2026
Urine Protein Tests,5804-0,LOINC,Protein [Mass/volume] in Urine by Test strip,HEDIS-2026
ACE Inhibitors,36200110,GPI,Lisinopril,HEDIS-2026
ACE Inhibitors,36200020,GPI,Enalapril,HEDIS-2026
ACE Inhibitors,36200050,GPI,Ramipril,HEDIS-2026
ACE Inhibitors,36200030,GPI,Benazepril,HEDIS-2026
ARB Medications,36400010,GPI,Losartan,HEDIS-2026
ARB Medications,36400020,GPI,Valsartan,HEDIS-2026
ARB Medications,36400030,GPI,Irbesartan,HEDIS-2026
ARB Medications,36400040,GPI,Olmesartan,HEDIS-2026
